,PerformanceScore,EmpSatisfaction,EngagementSurvey,Termd
0,Exceeds,5,4.6,0
1,Fully Meets,3,4.96,1
2,Fully Meets,3,3.02,1
3,Fully Meets,5,4.84,0
4,Fully Meets,4,5.0,1
5,Exceeds,5,5.0,0
6,Fully Meets,3,3.04,0
7,Fully Meets,4,5.0,0
8,Fully Meets,3,4.46,0
9,Fully Meets,5,5.0,0
10,Fully Meets,4,4.2,1
11,Fully Meets,3,4.2,1
12,Exceeds,4,4.28,0
13,Fully Meets,4,4.6,0
14,Fully Meets,5,5.0,1
15,Fully Meets,4,5.0,1
16,Exceeds,3,4.4,0
17,Fully Meets,5,5.0,0
18,Fully Meets,4,4.5,1
19,Fully Meets,4,4.2,0
20,Fully Meets,3,5.0,0
21,Fully Meets,3,4.2,0
22,Exceeds,3,5.0,0
23,Needs Improvement,3,2.0,0
24,Fully Meets,5,4.8,1
25,Fully Meets,5,3.5,1
26,Fully Meets,4,5.0,0
27,Fully Meets,3,3.39,1
28,Fully Meets,4,3.35,1
29,Fully Meets,2,4.5,0
30,Fully Meets,3,3.19,0
31,Fully Meets,5,3.5,0
32,Fully Meets,5,3.14,1
33,Fully Meets,4,4.51,0
34,Fully Meets,5,3.25,0
35,Fully Meets,3,3.84,0
36,Exceeds,3,5.0,0
37,Fully Meets,4,4.96,0
38,Fully Meets,3,4.43,0
39,Fully Meets,5,5.0,0
40,Fully Meets,5,5.0,0
41,Fully Meets,4,5.0,0
42,Fully Meets,5,4.5,0
43,Fully Meets,4,3.3,0
44,Fully Meets,5,3.8,0
45,Fully Meets,5,3.0,0
46,Fully Meets,4,4.3,1
47,Fully Meets,5,3.58,0
48,Fully Meets,3,4.7,0
49,Fully Meets,5,4.2,1
50,Fully Meets,4,4.2,1
51,Exceeds,4,4.1,0
52,Fully Meets,5,4.4,0
53,Needs Improvement,3,2.0,1
54,Needs Improvement,2,4.13,0
55,Exceeds,5,3.7,0
56,Fully Meets,5,4.73,0
57,Fully Meets,3,3.04,0
58,Fully Meets,5,4.12,0
59,Fully Meets,3,5.0,0
60,Fully Meets,4,4.62,0
61,Fully Meets,5,3.1,0
62,Fully Meets,3,5.0,0
63,Fully Meets,4,3.96,0
64,Fully Meets,4,4.3,0
65,Fully Meets,4,5.0,1
66,Fully Meets,5,3.79,0
67,PIP,3,1.93,0
68,Fully Meets,5,4.62,1
69,PIP,2,1.12,0
70,Fully Meets,5,3.01,0
71,Fully Meets,4,4.3,0
72,PIP,1,2.3,0
73,Needs Improvement,4,3.88,0
74,Fully Meets,5,3.4,0
75,Fully Meets,4,4.11,0
76,Exceeds,5,4.3,0
77,Exceeds,5,4.77,0
78,Fully Meets,4,4.52,0
79,Fully Meets,3,2.9,0
80,Fully Meets,3,5.0,1
81,Fully Meets,5,4.7,0
82,Fully Meets,3,4.2,0
